"","X","id","text","title","abstract","keywords","methods","type","authors","affiliation","source","year","volume","issue","startpage","endpage","doi","language","database"
"295",295,"BCI:BCI199900200350","Life history and laboratory host range of Eccritotarsus catarinensis (Carvalho) (Heteroptera: Miridae), a new natural enemy released on water hyacinth (Eichhornia crassipes (Mart.) Solms-Laub.) (Pontederiaceae) in South Africa A mirid, Eccritotarsus catarinensis (Carvalho), was studied as a potentially damaging natural enemy for water hyacinth, (Eichhornia crassipes (Mart.) Solms-Laub.), in South Africa. In the laboratory, eggs were inserted into the leaf tissue parallel to the leaf surface. The four nymphal instars fed gregariously with the adults mainly on the undersurface of the leaves, causing severe chlorosis at high population levels. The duration of immature stages (egg and nymphs) was approximately 23 days, while the adults survived for approximately 50 days. Favorable biological characteristics of E. catarinensis included a high rate of increase, gregarious habits, long-lived and mobile adults, and several generations per year. Laboratory host range of the mirid was determined by adult choice trials on 67 plant species in 36 families and adult no-choice trials on five species in the Pontederiaceae. Feeding was recorded on all Pontederiaceae tested and oviposition on four of the five species. However, these plant species proved to be inferior hosts for E. catarinensis in comparison to water hyacinth, suggesting that E. catarinensis would be an acceptable natural enemy for water hyacinth in South Africa.","Life history and laboratory host range of Eccritotarsus catarinensis Carvalho Heteroptera Miridae a new natural enemy released on water hyacinth Eichhornia crassipes Mart Solms-Laub Pontederiaceae in South Africa","A mirid, Eccritotarsus catarinensis (Carvalho), was studied as a potentially damaging natural enemy for water hyacinth, (Eichhornia crassipes (Mart.) Solms-Laub.), in South Africa. In the laboratory, eggs were inserted into the leaf tissue parallel to the leaf surface. The four nymphal instars fed gregariously with the adults mainly on the undersurface of the leaves, causing severe chlorosis at high population levels. The duration of immature stages (egg and nymphs) was approximately 23 days, while the adults survived for approximately 50 days. Favorable biological characteristics of E. catarinensis included a high rate of increase, gregarious habits, long-lived and mobile adults, and several generations per year. Laboratory host range of the mirid was determined by adult choice trials on 67 plant species in 36 families and adult no-choice trials on five species in the Pontederiaceae. Feeding was recorded on all Pontederiaceae tested and oviposition on four of the five species. However, these plant species proved to be inferior hosts for E. catarinensis in comparison to water hyacinth, suggesting that E. catarinensis would be an acceptable natural enemy for water hyacinth in South Africa.","","biological control; pest control method","Article","Hill, M. P.; Cilliers, C. J.; Neser, S.","Hill, M. P.; Cilliers, C. J.; Neser, S.; Weeds Division, ARC-Plant Protection Research Institute, Pretoria, 0001, South Africa","Biological Control","1999","14","3","127","133","10.1006/bcon.1998.0683","English","WoS_BIOSIS_CitIndex"
"714",714,"BCI:BCI199698591739","Life tables of the soybean looper Rachiplusia nu (Lepidoptera: Noctuidae) in the laboratory Three initial cohorts of eggs of R. nu were held under laboratory conditions. Survivorship (I-x) and fecundity (m-x) were determined every 24 h until adults died. Age-specific and stage-specific survival and fecundity curves were constructed. Mean developmental time of stages was calculated. The following population parameters were computed: net reproductive rate (Ro), intrinsic rate of increase (r), finite rate of increase (lambda), generation time (T), and reproductive values (V-x). There were moderate differences in age-specific survival and fecundity curves between cohorts. Stage-specific survival curves showed an important overlapping of stages. Mean total fecundity ranged between 813.75 and 1,438 eggs/female. Oviposition period ranged between 6 and 12 days. Higher reproductive values occurred between days 31 and 40. R. nu showed a high potential for increase under this study's conditions. Mean Ro, mean r, mean lambda, and mean T values were: 531.45, 0.19, 1.21, and 33.24, respectively.","Life tables of the soybean looper Rachiplusia nu Lepidoptera Noctuidae in the laboratory","Three initial cohorts of eggs of R. nu were held under laboratory conditions. Survivorship (I-x) and fecundity (m-x) were determined every 24 h until adults died. Age-specific and stage-specific survival and fecundity curves were constructed. Mean developmental time of stages was calculated. The following population parameters were computed: net reproductive rate (Ro), intrinsic rate of increase (r), finite rate of increase (lambda), generation time (T), and reproductive values (V-x). There were moderate differences in age-specific survival and fecundity curves between cohorts. Stage-specific survival curves showed an important overlapping of stages. Mean total fecundity ranged between 813.75 and 1,438 eggs/female. Oviposition period ranged between 6 and 12 days. Higher reproductive values occurred between days 31 and 40. R. nu showed a high potential for increase under this study's conditions. Mean Ro, mean r, mean lambda, and mean T values were: 531.45, 0.19, 1.21, and 33.24, respectively.","FECUNDITY, MORTALITY, NET REPRODUCTIVE RATE, OVIPOSITION, SURVIVORSHIP",NA,"Article","Sanchez, Norma E.; Pereyra, Patricia C.","Centro de Estudios Parasitol Vectores, Calle 2 Nro. 584, 1900 La Plata, Argentina","Revista de la Sociedad Entomologica Argentina","1995","54","1-4","89","96","","English","WoS_BIOSIS_CitIndex"
"837",837,"BCI:BCI199598006374","Sporogonic development of cultured Plasmodium falciparum in six species of laboratory-reared Anopheles mosquitoes Sporogonic development of cultured Plasmodium falciparum was compared in six species of Anopheles mosquitoes. A reference species, A. gambiae, was selected as the standard for comparison. Estimates of absolute densities were determined for each lifestage. From these data, four aspects of parasite population dynamics were analyzed quantitatively: 1) successive losses in abundance as parasites developed from gametocyte to ookinete to oocyst stages, 2) oocyst production of sporozoites, 3) correlation between various lifestage parameters. and 4) parasite distribution. Parasite populations in A. gambiae incurred a 316-fold loss in abundance during the transition front macrogametocyte to ookinete stage, a 100-fold loss from ookinete to oocyst stage, yielding a total loss of approximately 31,600-fold (i.e. losses are multiplicative). Comparative susceptibilities in order were A. freeborni mchgt A. gambiae, A. arabiensis, A. dirus gt A. stephensi, A. albimanus. The key transition(s) determining overall susceptibility differed among species. Despite species differences in oocyst densities and infection rates, salivary gland sporozoite production per oocyst (approximately 30 ookinetes per mosquito). The same among species. The most consistent association among lifestage parameters was a positive correlation between densities and infection rates of homologous lifestages. A curvilinear relationship between ookinete and oocyst densities in A. gambiae indicated a threshold density was required for ookinete conversion to oocysts (approximately 30 ookinetes per mosquito). The same relationship in A. freeborni was linear, with no distinct threshold. Ookinete and oocyst populations were negative binomially distributed in all species. Indices of heterogeneity in mosquito susceptibility to infection indicated that gene frequencies determining susceptibility fluctuated with time in all species, except A. freeborni where susceptibility remained homogenous throughout the study. This approach provides a framework for identifying mechanisms of susceptibility and evaluating Plasmodium sporogonic development in naturally occurring vector species in nature.","Sporogonic development of cultured Plasmodium falciparum in six species of laboratory-reared Anopheles mosquitoes","Sporogonic development of cultured Plasmodium falciparum was compared in six species of Anopheles mosquitoes. A reference species, A. gambiae, was selected as the standard for comparison. Estimates of absolute densities were determined for each lifestage. From these data, four aspects of parasite population dynamics were analyzed quantitatively: 1) successive losses in abundance as parasites developed from gametocyte to ookinete to oocyst stages, 2) oocyst production of sporozoites, 3) correlation between various lifestage parameters. and 4) parasite distribution. Parasite populations in A. gambiae incurred a 316-fold loss in abundance during the transition front macrogametocyte to ookinete stage, a 100-fold loss from ookinete to oocyst stage, yielding a total loss of approximately 31,600-fold (i.e. losses are multiplicative). Comparative susceptibilities in order were A. freeborni mchgt A. gambiae, A. arabiensis, A. dirus gt A. stephensi, A. albimanus. The key transition(s) determining overall susceptibility differed among species. Despite species differences in oocyst densities and infection rates, salivary gland sporozoite production per oocyst (approximately 30 ookinetes per mosquito). The same among species. The most consistent association among lifestage parameters was a positive correlation between densities and infection rates of homologous lifestages. A curvilinear relationship between ookinete and oocyst densities in A. gambiae indicated a threshold density was required for ookinete conversion to oocysts (approximately 30 ookinetes per mosquito). The same relationship in A. freeborni was linear, with no distinct threshold. Ookinete and oocyst populations were negative binomially distributed in all species. Indices of heterogeneity in mosquito susceptibility to infection indicated that gene frequencies determining susceptibility fluctuated with time in all species, except A. freeborni where susceptibility remained homogenous throughout the study. This approach provides a framework for identifying mechanisms of susceptibility and evaluating Plasmodium sporogonic development in naturally occurring vector species in nature.","GENE FREQUENCY, OOCYST, OOKINETE, POPULATION DYNAMICS, VECTOR SUSCEPTIBILITY",NA,"Article","Vaughan, Jefferson A.; Noden, Bruce H.; Beier, John C.","Vaughan, Jefferson A.; Applied Res. Div., U.S. Army Med. Res. Inst. Infect. Dis., Fort Detrick, Frederick, MD 21702-5011, USA","American Journal of Tropical Medicine and Hygiene","1994","51","2","233","243","10.4269/ajtmh.1994.51.233","English","WoS_BIOSIS_CitIndex"
"1257",1257,"BCI:BCI199497416159","Long-term growth patterns of laboratory populations of Aedes albopictus (Diptera: Culicidae): A comparison between two strains from Japan and Thailand A long-term population growth of Aedes albopictus was examined by the population cage method for 350 days using two laboratory strains originated from Nagasaki, Japan and Chiangmai, Thailand. The populations were allowed to increase under two different conditions of larval food (poor and rich). Temporal changes in age composition and densities of larvae and adults were examined weekly. When the food condition of larvae was poor, none of the populations could survive: the population of Nagasaki strain became extinct at 214 days after the introduction of the initial population and two populations of Chiangmai strain became extinct at 49 and 70 days, respectively. The populations of both strains reproducing under the condition of rich larval food repeated an increase and decrease cycle throughout the experiment, and marked differences in several population parameters were observed between the two strains. The population of Nagasaki strain showed a higher rate of population increase, achieved higher densities of larvae and adults, and produced smaller females having longer longevity and higher fecundity.","Long-term growth patterns of laboratory populations of Aedes albopictus Diptera Culicidae A comparison between two strains from Japan and Thailand","A long-term population growth of Aedes albopictus was examined by the population cage method for 350 days using two laboratory strains originated from Nagasaki, Japan and Chiangmai, Thailand. The populations were allowed to increase under two different conditions of larval food (poor and rich). Temporal changes in age composition and densities of larvae and adults were examined weekly. When the food condition of larvae was poor, none of the populations could survive: the population of Nagasaki strain became extinct at 214 days after the introduction of the initial population and two populations of Chiangmai strain became extinct at 49 and 70 days, respectively. The populations of both strains reproducing under the condition of rich larval food repeated an increase and decrease cycle throughout the experiment, and marked differences in several population parameters were observed between the two strains. The population of Nagasaki strain showed a higher rate of population increase, achieved higher densities of larvae and adults, and produced smaller females having longer longevity and higher fecundity.","ECOLOGY, FECUNDITY, LARVAL FOOD, LIFE HISTORY, LONGEVITY, POPULATION DENSITY, POPULATION INCREASE",NA,"Article","Tsuda, Yoshio; Takagi, Masahiro; Wada, Yoshito","Dep. Med. Entomol., Inst. Tropical Med., Nagasaki Univ., Nagasaki 852, Japan","Japanese Journal of Sanitary Zoology","1994","45","2","133","139","","English","WoS_BIOSIS_CitIndex"
"2139",2139,"BCI:BCI199395129585","Beauveria bassiana (Balsamo) Vuillemin (Deuteromycetes) applied to laboratory colonies of Solenopsis invicta Buren (Hymenoptera: Formicidae) in soil Laboratory experiments were done to evaluate effects of a Beauveria bassiana (Balsamo) Vuillemin, strain on Brazilian and American populations of Solenopsis invicta Buren. Three application methods used for treatment of fire ants were sprinkling material on the soil surface, injection into the nest, and mixing conidia into soil. Two hundred grams of B. bassiana-rice material was applied on colonies with apprxeq 7 g of ants in plastic pots with nest soil. Mortality of ants treated with B. bassiana and infection of cadavers were significantly higher than in the control druing the first 3 wk of the experiments in the United States and in Brazil. No differences were observed in susceptibility of the S. invicta populations to B. bassiana strain 447 or in the effects of soil on the performance of the fungus. A maximum 70% reduction of the population occurred when colonies with 3 g of ants in 300 g of soil were injected with 0.3 g of a powder formulation containing 50% of B. bassiana conidia. In large colonies with apprxeq 10,000 ants, application of 25 g of formulation (1 part conidia: 4 parts diatomaceous earth) by injection into nest or surface treatment caused ant mortality of between 70 and 92%. Application of fungus by mixing conidia into soil did not cause significant mortality of ants. Injection of powder formulation of B. bassiana can be advantageous because better fungus-host contact occurs and lower doses are required.","Beauveria bassiana Balsamo Vuillemin Deuteromycetes applied to laboratory colonies of Solenopsis invicta Buren Hymenoptera Formicidae in soil","Laboratory experiments were done to evaluate effects of a Beauveria bassiana (Balsamo) Vuillemin, strain on Brazilian and American populations of Solenopsis invicta Buren. Three application methods used for treatment of fire ants were sprinkling material on the soil surface, injection into the nest, and mixing conidia into soil. Two hundred grams of B. bassiana-rice material was applied on colonies with apprxeq 7 g of ants in plastic pots with nest soil. Mortality of ants treated with B. bassiana and infection of cadavers were significantly higher than in the control druing the first 3 wk of the experiments in the United States and in Brazil. No differences were observed in susceptibility of the S. invicta populations to B. bassiana strain 447 or in the effects of soil on the performance of the fungus. A maximum 70% reduction of the population occurred when colonies with 3 g of ants in 300 g of soil were injected with 0.3 g of a powder formulation containing 50% of B. bassiana conidia. In large colonies with apprxeq 10,000 ants, application of 25 g of formulation (1 part conidia: 4 parts diatomaceous earth) by injection into nest or surface treatment caused ant mortality of between 70 and 92%. Application of fungus by mixing conidia into soil did not cause significant mortality of ants. Injection of powder formulation of B. bassiana can be advantageous because better fungus-host contact occurs and lower doses are required.","BIOLOGICAL CONTROL, MORTALITY, PESTS",NA,"Article","Stimac, Jerry L.; Pereira, Roberto M.; Alves, Sergio B.; Wood, Lois A.","Stimac, Jerry L.; Pereira, Roberto M.; Wood, Lois A.; Entomol. and Nematol. Dep., Univ. Fla., P.O. Box 110620, Gainesville, FL 32611-0620, USA","Journal of Economic Entomology","1993","86","2","348","352","10.1093/jee/86.2.348","English","WoS_BIOSIS_CitIndex"
"2631",2631,"BCI:BCI199396112607","Biological aspects of Oebalus poecilus (Dallas, 1851) (Heteroptera: Pentatomidae) in the egg stage under laboratory conditions Basic biological aspects of the egg stage of O. poecilus were studied in a constant condition chamber at 27 +- 1 degree C, 75 +- 5% RH and 14 hours-light/day, fed with the herb Polygonum punctatum Elliot. Through the observation of 270 layings, an incubation period of 4,1 +- 0,1 days was obtained; and during this period the color changes caused by the embryonic development allowed to estimate eggs age. From a total of 3859 eggs, 96,6% were successful, the proportion of unfertile and unsuccessful ones being 1,9% and 1,5%, respectively. Dominance of a small number of unsuccessful eggs were verified in the 79 layings in which they occurred, and their relative frequency increases in the older females.","Biological aspects of Oebalus poecilus Dallas 1851 Heteroptera Pentatomidae in the egg stage under laboratory conditions","Basic biological aspects of the egg stage of O. poecilus were studied in a constant condition chamber at 27 +- 1 degree C, 75 +- 5% RH and 14 hours-light/day, fed with the herb Polygonum punctatum Elliot. Through the observation of 270 layings, an incubation period of 4,1 +- 0,1 days was obtained; and during this period the color changes caused by the embryonic development allowed to estimate eggs age. From a total of 3859 eggs, 96,6% were successful, the proportion of unfertile and unsuccessful ones being 1,9% and 1,5%, respectively. Dominance of a small number of unsuccessful eggs were verified in the 79 layings in which they occurred, and their relative frequency increases in the older females.","MATING, REPRODUCTION, SURVIVAL",NA,"Article","Silva, Cleber Palma","Univ. Rio Grande, Depto Ciencias Morfo-Biologicas, 96200-000 Rio Grande RS, Brazil","Anais da Sociedade Entomologica do Brasil","1992","21","2","225","231","","Portuguese","WoS_BIOSIS_CitIndex"
"2711",2711,"BCI:BCI199294074174","THE CUTICULAR HYDROCARBONS OF PHLEBOTOMUS-ARGENTIPES DIPTERA PHLEBOTOMINAE FROM FIELD POPULATIONS IN NORTHERN INDIA AND SRI LANKA AND THEIR CHANGE WITH LABORATORY COLONIZATION The cuticular hydrocarbon profiles of wild caught, male Phlebotomus argentipes Annandale and Brunetti from Kandy, Sri Lanka, and Calcutta, India, were significantly different. Using discriminant functions based on three peaks from a gas-liquid chromatogram, 895 of specimens were correctly allocated to their parent sample. These results correlate with previously reported morphometric differences in this species from different parts of its range. Following laboratory colonization of the Kandy strain, the cuticular hydrocarbon profiles showed a progressive change, so that wild-caught and F5 generations could be completely distinguished by discriminant function analysis, with the F1 and F2 as intermediates.","THE CUTICULAR HYDROCARBONS OF PHLEBOTOMUS-ARGENTIPES DIPTERA PHLEBOTOMINAE FROM FIELD POPULATIONS IN NORTHERN INDIA AND SRI LANKA AND THEIR CHANGE WITH LABORATORY COLONIZATION","The cuticular hydrocarbon profiles of wild caught, male Phlebotomus argentipes Annandale and Brunetti from Kandy, Sri Lanka, and Calcutta, India, were significantly different. Using discriminant functions based on three peaks from a gas-liquid chromatogram, 895 of specimens were correctly allocated to their parent sample. These results correlate with previously reported morphometric differences in this species from different parts of its range. Following laboratory colonization of the Kandy strain, the cuticular hydrocarbon profiles showed a progressive change, so that wild-caught and F5 generations could be completely distinguished by discriminant function analysis, with the F1 and F2 as intermediates.","LEISHMANIASIS VECTOR HUMAN HEALTH SIGNIFICANCE KANDY STRAIN DISCRIMINANT FUNCTION ANALYSIS MORPHOMETRY CHROMATOGRAPHY",NA,"Article","KAMHAWI S; LANE R P; CAMERON M; PHILLIPS A; MILLIGAN P; MOLYNEUX D H","KAMHAWI S; DEP ENTOMOL, NATURAL HISTORY MUSEUM, LONDON SW7 5BD, UK","Bulletin of Entomological Research","1992","82","2","209","212","10.1017/S0007485300051749","English","WoS_BIOSIS_CitIndex"
"2759",2759,"BCI:BCI199395048820","Population stability in laboratory ecosystem of stored product insects and parasitoids Experimental ecosystems were studied in growth chamber at 30 degree C, R.H. 70% in full dark. Biotic factors were combinations of two cereals (rice and azuki bean), four hosts insects (Sitophilus oryzae, S. zeamais, Rhyzopertha dominica, and Callosobruchus chinensis), and three parasitic wasps (Anisopteromalus calandrae, Choetospila elegans and Lariophagus distinguendus). Average population density and coefficient of variation (C.V) in population fluctuation were compared among the various community complexities. Increase in complexity of parasitoid community increased stability of hosts population. However, increase in complexity of host community did not always increase stability of host population. Stability of parasitoid populations was higher in a complex host community than in the single host community. Furthermore, the stability of parasitoid populations increased as the number of parasitoid species in the simple host community increased; however, this trend was reverse in the complex host community. Therefore, an increase in the complexity of host community may induce instability in the parasitoid population.","Population stability in laboratory ecosystem of stored product insects and parasitoids","Experimental ecosystems were studied in growth chamber at 30 degree C, R.H. 70% in full dark. Biotic factors were combinations of two cereals (rice and azuki bean), four hosts insects (Sitophilus oryzae, S. zeamais, Rhyzopertha dominica, and Callosobruchus chinensis), and three parasitic wasps (Anisopteromalus calandrae, Choetospila elegans and Lariophagus distinguendus). Average population density and coefficient of variation (C.V) in population fluctuation were compared among the various community complexities. Increase in complexity of parasitoid community increased stability of hosts population. However, increase in complexity of host community did not always increase stability of host population. Stability of parasitoid populations was higher in a complex host community than in the single host community. Furthermore, the stability of parasitoid populations increased as the number of parasitoid species in the simple host community increased; however, this trend was reverse in the complex host community. Therefore, an increase in the complexity of host community may induce instability in the parasitoid population.","COMMUNITY COMPLEXITY, POPULATION DENSITY, POPULATION DYNAMICS",NA,"Article","Lai, Chung-Hsien; Yoshida, Toshiharu","Lai, Chung-Hsien; Fac. Agric., Okayama University, Okayama 700, Japan","Chinese Journal of Entomology","1992","12","3","183","191","","English","WoS_BIOSIS_CitIndex"
"2866",2866,"BCI:BCI199294108900","EFFECTS OF TEMPERATURE AND AGE ON DAILY CHANGES IN PHEROMONE TITER IN LABORATORY-REARED AND WILD GYPSY MOTH LEPIDOPTERA LYMANTRIIDAE Effects of temperature, age, and photoperiod on pheromone titer in the pheromone gland of gypsy moth, Lymantria dispar (L.), were studied with the aid of gas chromatography. In laboratory-reared females, daily rhythmic changes in pheromone content were observed with peaks occurring toward the evening and increasing in quantity with female age. In wild females held in outdoor cages under very hot afternoon conditions, maximum pheromone titer was observed in the early morning and minimum titer in the afternoon. However, pheromone-oriented flight activity of the wild males was lowest in the morning and highest in the afternoon. Temperatures of 33 and 35.degree.C caused decline in pheromone titer to near zero in laboratory-reared and wild females, respectively. Calling behavior was not dependent on the presence of pheromone in the gland; it occurred in newly emerged females before pheromone could be detected and in females held at temperatures that inhibited pheromone production.","EFFECTS OF TEMPERATURE AND AGE ON DAILY CHANGES IN PHEROMONE TITER IN LABORATORY-REARED AND WILD GYPSY MOTH LEPIDOPTERA LYMANTRIIDAE","Effects of temperature, age, and photoperiod on pheromone titer in the pheromone gland of gypsy moth, Lymantria dispar (L.), were studied with the aid of gas chromatography. In laboratory-reared females, daily rhythmic changes in pheromone content were observed with peaks occurring toward the evening and increasing in quantity with female age. In wild females held in outdoor cages under very hot afternoon conditions, maximum pheromone titer was observed in the early morning and minimum titer in the afternoon. However, pheromone-oriented flight activity of the wild males was lowest in the morning and highest in the afternoon. Temperatures of 33 and 35.degree.C caused decline in pheromone titer to near zero in laboratory-reared and wild females, respectively. Calling behavior was not dependent on the presence of pheromone in the gland; it occurred in newly emerged females before pheromone could be detected and in females held at temperatures that inhibited pheromone production.","LYMANTRIA-DISPAR PHOTOPERIOD",NA,"Article","GIEBULTOWICZ J M; WEBB R E; RAINA A K; RIDGWAY R L","GIEBULTOWICZ J M; DEP ZOOL, UNIV MARYLAND, COLLEGE PARK, MD 20742, USA","Environmental Entomology","1992","21","4","822","826","10.1093/ee/21.4.822","English","WoS_BIOSIS_CitIndex"
"2919",2919,"BCI:BCI199395109372","Induction and inhibition of spine development in the rotifer Keratella tropica: Evidence from field observations and laboratory experiments We analysed the effect of several variables on the morphology of the rotifer Keratella tropica with the aim of accounting for its morphological variability in nature. We used field data from (i) an extensive survey of Argentine lakes, (ii) a 1.5 yr, monthly sampling of Salto Grande Reservoir (Argentina), and (iii) a 3-month, outdoor experiment in fish culture tanks. In addition, we performed a series of laboratory experiments aimed at isolating the effects of different variables. The increase in crustacean biomass and the amelioration of their nutritional status (measured as the reciprocal of the starvation time) caused spine enlargement. In contrast, the presence of decomposers caused reduction of the spines. These results support the idea that a major proportion of the phenotypic expression of K. tropica depends on the concentration of an inducing factor, which in turn depends on the balance between release and decomposition rates of the chemical. Food concentration was identified as a secondary factor affecting morphology. In agreement with records for other rotifiers, food concentration and spine length were inversely related. Both factors, crustacean chemicals and food availability, seemed to act independently, at different developmental stages. Our experiments suggest, however, that the most exuberant individuals can only be induced through chemicals released by predators and competitors. The presence of backswimmers (Notonectidae) resulted in individuals with very short or non-existing posterior spines. Filtrates of backswimmer-conditioned medium also produced a significant, although less striking, spine inhibition. Thus, different chemical factors seem to have opposite effects on K. tropica morphology. Those released by crustaceans induce spine elongation, while those released by backswimmers inhibit spine development. Genetic differences were also identified as a source of morphological variability. Under identical laboratory conditions, different clones had spines of different length. Our experiments also suggest an inverse relationship between spine length and growth rate. The latter result, however, is based upon only three clones of K. tropica and is thus preliminary.","Induction and inhibition of spine development in the rotifer Keratella tropica Evidence from field observations and laboratory experiments","We analysed the effect of several variables on the morphology of the rotifer Keratella tropica with the aim of accounting for its morphological variability in nature. We used field data from (i) an extensive survey of Argentine lakes, (ii) a 1.5 yr, monthly sampling of Salto Grande Reservoir (Argentina), and (iii) a 3-month, outdoor experiment in fish culture tanks. In addition, we performed a series of laboratory experiments aimed at isolating the effects of different variables. The increase in crustacean biomass and the amelioration of their nutritional status (measured as the reciprocal of the starvation time) caused spine enlargement. In contrast, the presence of decomposers caused reduction of the spines. These results support the idea that a major proportion of the phenotypic expression of K. tropica depends on the concentration of an inducing factor, which in turn depends on the balance between release and decomposition rates of the chemical. Food concentration was identified as a secondary factor affecting morphology. In agreement with records for other rotifiers, food concentration and spine length were inversely related. Both factors, crustacean chemicals and food availability, seemed to act independently, at different developmental stages. Our experiments suggest, however, that the most exuberant individuals can only be induced through chemicals released by predators and competitors. The presence of backswimmers (Notonectidae) resulted in individuals with very short or non-existing posterior spines. Filtrates of backswimmer-conditioned medium also produced a significant, although less striking, spine inhibition. Thus, different chemical factors seem to have opposite effects on K. tropica morphology. Those released by crustaceans induce spine elongation, while those released by backswimmers inhibit spine development. Genetic differences were also identified as a source of morphological variability. Under identical laboratory conditions, different clones had spines of different length. Our experiments also suggest an inverse relationship between spine length and growth rate. The latter result, however, is based upon only three clones of K. tropica and is thus preliminary.","BACKSWIMMER, CHEMICAL CUE, CRUSTACEAN BIOMASS, GENETICS, GROWTH RATE, MORPHOLOGY, NUTRITIONAL STATUS, PHENOTYPIC EXPRESSION",NA,"Article","Zagarese, Horacio E.; Marinone, Maria C.","Zagarese, Horacio E.; Dep. Earth Environmental Sci., Lehigh Univ., Williams Hall 31, Bethlehem, PA 18015, USA","Freshwater Biology","1992","28","3","289","300","10.1111/j.1365-2427.1992.tb00587.x","English","WoS_BIOSIS_CitIndex"
